trait,fold,method,selection_method,lambda_label,lambda_div,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_fit,alpha,pearson_r,mse_adj,avg_grm_target_obj,avg_grm_train_train_obj,objective_obj,selection_time_seconds,fit_time_seconds
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,3000,5085,565,3250,3250,107097.74831514445,0.3893637140423585,0.47049885988235474,0.0003688777308270359,,0.0003688777308270359,0.00037147896364331245,0.22970015602186322
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,3500,5085,565,3250,3250,107097.74831514445,0.39730501548143116,0.4651942849159241,0.0002511771011590202,,0.0002511771011590202,0.00037147896364331245,0.2845678951125592
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,4000,5085,565,3250,3250,107097.74831514445,0.40037541254174447,0.4628092348575592,0.0001336824263102992,,0.0001336824263102992,0.00037147896364331245,0.2884394070133567
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,4500,5085,565,3250,3250,107097.74831514445,0.40269598132469064,0.46130019426345825,9.405683159884318e-06,,9.405683159884318e-06,0.00037147896364331245,0.3027583009097725
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,500,5085,565,3250,3250,107097.74831514445,0.23582204168582652,0.5097974538803101,0.00038045629895734406,0.0009379727419157737,-0.0005575164429584297,0.5202707319986075,0.03340401081368327
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,1000,5085,565,3250,3250,107097.74831514445,0.31414966086919316,0.49358028173446655,0.0003797586014678231,0.0004635576084767238,-8.379900700890069e-05,0.5202707319986075,0.05386361386626959
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,1500,5085,565,3250,3250,107097.74831514445,0.35745153466361707,0.4824453294277191,0.0003316985389694976,0.0003027338115368582,2.8964727432639436e-05,0.5202707319986075,0.07463323720730841
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,2000,5085,565,3250,3250,107097.74831514445,0.37508899607299323,0.4756075441837311,0.0002913196955320142,0.00022638551528983238,6.493418024218183e-05,0.5202707319986075,0.13611751305870712
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,2500,5085,565,3250,3250,107097.74831514445,0.3714163696501708,0.4751768410205841,0.00024400729519271787,0.00017539571227106462,6.861158292165325e-05,0.5202707319986075,0.1748889700975269
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,3000,5085,565,3250,3250,107097.74831514445,0.3860024396358675,0.4692249298095703,0.0001857433626504124,0.0001327686850848911,5.297467756552131e-05,0.5202707319986075,0.23284655180759728
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,3500,5085,565,3250,3250,107097.74831514445,0.40105306505239185,0.46451902389526367,0.000121416305302086,9.666768254325161e-05,2.4748622758834384e-05,0.5202707319986075,0.2768061268143356
thr_tarsus,3,avggrm_diversity_pc_ridge,avggrm_diversity,lambda_1,1.0,-1,-1,4000,5085,565,3250,3250,107097.74831514445,0.4018656970213875,0.4624994695186615,4.9496682556407785e-05,6.675626862797164e-05,-1.7259586071563857e-05,0.5202707319986075,0.29222568892873824
