Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361690
Array task ID: 14
The job was run on these nodes: idun-10-07
[I 2026-04-29 23:12:47,950] Trial 51 finished with value: 0.16756610147685913 and parameters: {'alpha': 881462.3679234331, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.015005229857343127, 'iw_n_components': 10, 'iw_logistic_c': 3.684936874799137, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:18:12,674] Trial 52 finished with value: 0.16524980095121217 and parameters: {'alpha': 910175.0659660954, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.013359321194147348, 'iw_n_components': 10, 'iw_logistic_c': 3.9017569394648155, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:23:40,158] Trial 53 finished with value: 0.16551388196171246 and parameters: {'alpha': 988843.9835459824, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.015278666012388585, 'iw_n_components': 10, 'iw_logistic_c': 0.4015411092674958, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:29:09,328] Trial 54 finished with value: 0.16370492317351817 and parameters: {'alpha': 680972.9650771422, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005901800103478584, 'iw_n_components': 10, 'iw_logistic_c': 1.92735822587481, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:34:24,072] Trial 55 finished with value: 0.16663658820047286 and parameters: {'alpha': 817435.9973245518, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.004044814334629759, 'iw_n_components': 10, 'iw_logistic_c': 6.660014674476381, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:39:42,436] Trial 56 finished with value: 0.16613711161170241 and parameters: {'alpha': 478443.4831902911, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.008236855347689488, 'iw_n_components': 10, 'iw_logistic_c': 0.6927494866244448, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:45:08,137] Trial 57 finished with value: 0.1661185265941106 and parameters: {'alpha': 609748.8188039049, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.01565490404187375, 'iw_n_components': 10, 'iw_logistic_c': 0.24875151395128928, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:49:20,587] Trial 58 finished with value: 0.15757249612124616 and parameters: {'alpha': 684238.5012944188, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.010312814558485242, 'iw_n_components': 5, 'iw_logistic_c': 0.03771269895475827, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:50:14,880] Trial 59 finished with value: 0.14090428009234984 and parameters: {'alpha': 891556.1321246437, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:56:12,291] Trial 60 finished with value: 0.1605243191821037 and parameters: {'alpha': 733725.8384606694, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.007200257770056629, 'iw_n_components': 40, 'iw_logistic_c': 9.082441016008119, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-30 00:01:31,041] Trial 61 finished with value: 0.16619162423196637 and parameters: {'alpha': 802718.2339697857, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.009674869982214477, 'iw_n_components': 10, 'iw_logistic_c': 2.9954548719768677, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-30 00:06:50,402] Trial 62 finished with value: 0.16763234501740704 and parameters: {'alpha': 773305.3041365724, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.01293710736150559, 'iw_n_components': 10, 'iw_logistic_c': 1.2279913678109493, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-30 00:12:07,649] Trial 63 finished with value: 0.1666313562465883 and parameters: {'alpha': 572684.9802534565, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.013317349462102031, 'iw_n_components': 10, 'iw_logistic_c': 1.3840148327604829, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-30 00:17:30,895] Trial 64 finished with value: 0.1459348532801071 and parameters: {'alpha': 50207.26422256814, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.006061008137443637, 'iw_n_components': 10, 'iw_logistic_c': 0.0003345197398343582, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
