n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,trait,repeat,split_seed
13,4870,0.3380522649448883,0.4568853378295898,shapley_mean,-1,1,thr_tarsus,4,4014
14,5558,0.3256163242879514,0.4593337178230285,shapley_mean,-1,1,thr_tarsus,4,4014
1,173,0.1047586673163994,0.58088219165802,shapley_mean,-1,1,thr_tarsus,5,5014
2,290,0.1488137974971209,0.5681276917457581,shapley_mean,-1,1,thr_tarsus,5,5014
3,442,0.207854973407695,0.5545462369918823,shapley_mean,-1,1,thr_tarsus,5,5014
4,790,0.2885979746468621,0.5464075803756714,shapley_mean,-1,1,thr_tarsus,5,5014
5,1853,0.3867785377627122,0.5299474596977234,shapley_mean,-1,1,thr_tarsus,5,5014
6,2016,0.3488433489094961,0.5325345396995544,shapley_mean,-1,1,thr_tarsus,5,5014
7,2302,0.2948993701833716,0.5327024459838867,shapley_mean,-1,1,thr_tarsus,5,5014
8,2990,0.2504063704812705,0.5376788973808289,shapley_mean,-1,1,thr_tarsus,5,5014
9,3545,0.2242530787484259,0.5394101142883301,shapley_mean,-1,1,thr_tarsus,5,5014
10,4128,0.2604575307954231,0.5326534509658813,shapley_mean,-1,1,thr_tarsus,5,5014
11,4524,0.2675539307418858,0.5300639271736145,shapley_mean,-1,1,thr_tarsus,5,5014
12,5107,0.2663262615132207,0.5305125713348389,shapley_mean,-1,1,thr_tarsus,5,5014
13,5301,0.385071661040456,0.5046950578689575,shapley_mean,-1,1,thr_tarsus,5,5014
14,5558,0.3699627426547783,0.5024105906486511,shapley_mean,-1,1,thr_tarsus,5,5014
1,194,0.269345455169494,0.455775499343872,shapley_mean,-1,1,thr_tarsus,6,6014
2,311,0.2711501655726077,0.4538466930389404,shapley_mean,-1,1,thr_tarsus,6,6014
3,659,0.277193997054476,0.4531422555446625,shapley_mean,-1,1,thr_tarsus,6,6014
4,1242,0.1959214815605444,0.4573507606983185,shapley_mean,-1,1,thr_tarsus,6,6014
5,1394,0.2232036397517716,0.4539569318294525,shapley_mean,-1,1,thr_tarsus,6,6014
6,1977,0.1988451247679228,0.4560610949993133,shapley_mean,-1,1,thr_tarsus,6,6014
7,2373,0.1998531533753091,0.4554899930953979,shapley_mean,-1,1,thr_tarsus,6,6014
8,2546,0.2199581608714459,0.4533011615276336,shapley_mean,-1,1,thr_tarsus,6,6014
9,2709,0.2088664271060013,0.4544292986392975,shapley_mean,-1,1,thr_tarsus,6,6014
10,3264,0.1858944204372976,0.4571808278560638,shapley_mean,-1,1,thr_tarsus,6,6014
