trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05286,8N05286,13,Southern 3,4977,-0.009063318075174341,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05287,8N05287,13,Southern 3,4474,-0.007859708083605425,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05288,8N05288,13,Southern 3,3672,-0.005940998524916316,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05289,8N05289,13,Southern 3,4449,-0.007789583595569886,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05291,8N05291,13,Southern 3,3682,-0.0059698638961287855,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05292,8N05292,13,Southern 3,4129,-0.007076292137990989,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05293,8N05293,13,Southern 3,3825,-0.006352303709536148,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05294,8N05294,13,Southern 3,3788,-0.0062618498849117184,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05295,8N05295,13,Southern 3,4625,-0.008172735999632048,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05296,8N05296,13,Southern 3,3549,-0.005519310430499598,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05297,8N05297,13,Southern 3,4565,-0.008058504877801924,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05298,8N05298,13,Southern 3,5080,-0.009350637575732148,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05299,8N05299,13,Southern 3,3436,-0.005177741995619629,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05300,8N05300,13,Southern 3,4022,-0.006829716281846716,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05301,8N05301,13,Southern 3,3844,-0.006413968302504241,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05302,8N05302,13,Southern 3,4077,-0.006952349966270258,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05303,8N05303,13,Southern 3,4066,-0.006932970414024472,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05304,8N05304,13,Southern 3,3466,-0.005277461418726025,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05305,8N05305,13,Southern 3,4481,-0.007872921152421324,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05306,8N05306,13,Southern 3,3488,-0.005336478831886733,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05307,8N05307,13,Southern 3,3779,-0.0062485737945273505,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05308,8N05308,13,Southern 3,3443,-0.005195321822567549,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8M71514,8M71514,1,Myken,100,0.027728983405748295,1.0
