trait,snp_experiment,snp_repeat,snp_seed,snp_selection_mode,num_snps_requested,n_features_available,n_features_fit,alpha,target_column,eval_target_column,standardize_features,min_count,fit_time_seconds,fold,pearson_r,test_island,test_island_code,test_island_original_label,n_train,n_test
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.4455452999973204,4,0.2714831065094755,Selvær,3,24,5456,194
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.4495950999989873,5,0.2278083871008427,Gjerøy,4,26,5095,555
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.044346599999699,6,0.20161723138035212,Hestmannøy,5,27,4587,1063
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.6119332000089344,7,0.30839015934573727,Indre Kvarøy,6,28,5302,348
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.7752315000107046,8,0.2642905803728416,Onøy og Lurøy,7,33,5393,257
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.9032454999978654,9,0.4508961923333988,Lovund,8,34,5498,152
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.8852520000073127,10,0.2566275012576845,Sleneset,9,35,5487,163
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.646264399998472,11,0.19103419179663003,Aldra,10,38,5477,173
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.6048477000003913,12,0.17212210783009832,Leka,11,60,5067,583
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.5628788999893004,13,0.16343178895642524,Vega,12,61,5254,396
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.6834154999960447,14,0.07956303914853553,Vikna,13,63,5067,583
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.4420994999964023,15,0.1439118157067017,Lauvøya,14,67,4962,688
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.940642800007481,1,0.27282789516506023,Nesøy,0,20,5533,117
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.8477705999976024,2,0.31917636400578175,Myken,1,22,5558,92
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.5422956999973394,3,0.1978098965979541,Træna,2,23,5364,286
