ringnr,island,score,rank
8939180,5,-0.0002858674561139196,235
8816959,4,-0.0002856914952644729,236
8M31874,5,-0.0002854873932847113,237
8P14826,4,-0.0002852417333087942,238
8L30695,12,-0.00028489760734373704,239
8N73220,12,-0.0002848036183422664,240
8730454,5,-0.0002845038106897846,241
8P11538,15,-0.0002843300098902546,242
8L89518,5,-0.00028427974802980316,243
8943129,4,-0.0002840007891791174,244
8N05655,14,-0.0002834142396750394,245
8N28689,5,-0.0002833381968230242,246
8N73924,11,-0.000283055434920243,247
8L89748,4,-0.0002828282486007083,248
8943009,5,-0.00028267348534427583,249
8P11559,14,-0.00028265291803108994,250
8N06477,12,-0.0002823186459863791,251
8N13928,5,-0.00028107117759645917,252
8N28470,2,-0.0002807040000334382,253
8800469,5,-0.0002804781188388006,254
8N72616,5,-0.0002803213537845295,255
8N14976,7,-0.0002800361999106826,256
8L89793,5,-0.00027973478790954687,257
8N14293,15,-0.00027950407638854813,258
8L52203,8,-0.00027944540397584205,259
8M71314,5,-0.00027925832546316087,260
8N42510,5,-0.0002789361260511214,261
8N05713,6,-0.0002781385837806738,262
8N28091,2,-0.0002779119404294761,263
8L30829,3,-0.00027765736376750283,264
8M31210,11,-0.00027761833007389214,265
8943485,5,-0.00027639583640848286,266
8M72416,13,-0.0002757925904006697,267
8L89614,4,-0.0002757713309620158,268
8747623,5,-0.0002754777087830007,269
8N72986,2,-0.00027543392025108915,270
8L19877,5,-0.0002754213910520775,271
8N05110,12,-0.0002754105544227059,272
8N13863,15,-0.00027482377845444717,273
8800330,7,-0.0002739985902735498,274
8943805,1,-0.00027385882458474953,275
8P14196,5,-0.0002735971875154064,276
8L52978,5,-0.0002735417729127221,277
8747897,7,-0.0002734656682150671,278
8M72566,11,-0.0002728369991018553,279
8800529,10,-0.0002726325656112749,280
8N42987,14,-0.0002725987633311888,281
8P14907,14,-0.00027212267923459876,282
8P11471,2,-0.0002721079808907234,283
8681190,4,-0.0002720554584811907,284
8800022,5,-0.00027202438832318876,285
8N87950,13,-0.0002719299754971871,286
8N72746,5,-0.00027186766635622917,287
8N73954,12,-0.0002718019259191351,288
8168615,7,-0.00027124304983772163,289
8N27412,5,-0.0002707612238737056,290
8L52335,12,-0.0002707301991904387,291
8747373,5,-0.0002705481356315431,292
8N05114,14,-0.00027051984397985507,293
8N42276,5,-0.00026997867007594323,294
8732237,2,-0.0002699556143852533,295
8L19988,4,-0.00026956331930705346,296
8N14176,6,-0.00026803952823684085,297
8P11794,2,-0.0002662942979441141,298
8L48691,10,-0.00026553802854323294,299
8N42858,5,-0.00026496262216824107,300
8M71344,12,-0.00026483046349312644,301
8N05695,15,-0.0002648282988957362,302
8L89722,4,-0.00026475699996808544,303
8N27194,14,-0.00026459408945811447,304
8N28368,2,-0.0002642395425027644,305
8N72663,5,-0.00026405081734992564,306
8939095,10,-0.00026396187786303926,307
8N06478,12,-0.0002636384606375941,308
8N28792,15,-0.0002636165081639774,309
8N06311,5,-0.00026330764740123414,310
8L89371,5,-0.00026313175476389006,311
8800170,10,-0.0002629508871905273,312
8L57859,2,-0.00026267179237038363,313
8N73923,11,-0.0002626571022119606,314
8L52588,7,-0.00026198248997388873,315
