trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
thr_wing,10,Aldra,1,Myken,92,-0.0380453190059784,0.0399101116589209,-0.0004135360761519,0.00043380556151,10,14
thr_wing,10,Aldra,2,Træna,286,0.0105949448072295,0.095321731699102,3.704526156373964e-05,0.0003332927681786,10,9
thr_wing,10,Aldra,3,Selvær,191,-0.0348967788750703,0.0479219188027287,-0.0001827056485605,0.0002509000984436,10,13
thr_wing,10,Aldra,4,Gjerøy,553,-0.0257300973913427,0.0695538066976286,-4.652820504763601e-05,0.000125775418983,10,11
thr_wing,10,Aldra,5,Hestmannøy,1055,0.0746291864914305,0.1033806574097912,7.073856539472091e-05,9.79911444642571e-05,10,5
thr_wing,10,Aldra,6,Indre Kvarøy,349,0.0242311931393784,0.0984397448104105,6.943035283489511e-05,0.000282062306047,10,6
thr_wing,10,Aldra,7,Onøy og Lurøy,256,0.1053310121260778,0.0366967288853717,0.0004114492661174,0.0001433465972084,10,1
thr_wing,10,Aldra,8,Lovund,151,0.033237641782718,0.0352468866073137,0.0002201168329981,0.0002334230901146,10,2
thr_wing,10,Aldra,9,Sleneset,160,-0.0074712742123325,0.0636987455386513,-4.669546382707861e-05,0.0003981171596165,10,12
thr_wing,10,Aldra,11,Leka,581,0.0335703160816765,0.0646000252355101,5.778023421975312e-05,0.0001111876510077,10,7
thr_wing,10,Aldra,12,Vega,397,0.031053429646125,0.0480247003851274,7.822022580887916e-05,0.0001209690186023,10,4
thr_wing,10,Aldra,13,Vikna,583,0.0459915287307923,0.0978117647160861,7.888769936671071e-05,0.0001677731813311,10,3
thr_wing,10,Aldra,14,Lauvøya,688,0.0074765359285262,0.0652265251831578,1.0867058035648576e-05,9.48059959057526e-05,10,10
thr_wing,11,Leka,0,Nesøy,118,-0.0050835995265999,0.0587792085456234,-4.308135192033829e-05,0.0004981288859798,10,12
thr_wing,11,Leka,1,Myken,92,-0.0471377667184507,0.059001290000627,-0.0005123670295483,0.000641318369572,10,14
thr_wing,11,Leka,2,Træna,286,-0.0224076017432903,0.0655788806753424,-7.834825784367259e-05,0.0002292967855781,10,13
thr_wing,11,Leka,3,Selvær,191,0.0058798072628337,0.0622160281649661,3.078433121902479e-05,0.0003257383673558,10,7
thr_wing,11,Leka,4,Gjerøy,553,0.0354768736465241,0.0745032866393159,6.415347856514309e-05,0.0001347256539589,10,6
thr_wing,11,Leka,5,Hestmannøy,1055,-0.0184248317885267,0.1043918112228103,-1.7464295534148617e-05,9.894958409745052e-05,10,9
