method,n_train_size,n_individuals,corr_eval_cal,corr_eval_test,mse_adj_test,pevmean_obj,fitness,target_island,target_island_name,n_cal_samples,repeat,repeat_seed,trait,order_seed,ga_generations,ga_elapsed_sec
pevmean_ga,3000,3000,0.24807756354837035,0.2417691157683625,1.018637776374817,17329.61836947297,8.269252118279012e-05,3,Selvær,100,3,1829201244,body_mass,-1,100,741.6256662379019
random,3000,3000,0.1847434498373852,0.1709409079729842,1.041304588317871,,6.158114994579507e-05,3,Selvær,100,3,1829201244,body_mass,0,0,0.0
random,3000,3000,0.19804683809543797,0.24904949374904878,1.0070103406906128,,6.601561269847932e-05,3,Selvær,100,3,1829201244,body_mass,1,0,0.0
random,3000,3000,0.276868467731537,0.2413327581916475,1.0132098197937012,,9.228948924384567e-05,3,Selvær,100,3,1829201244,body_mass,2,0,0.0
random,3000,3000,0.15283996565024635,0.22471477592154734,1.0247633457183838,,5.094665521674878e-05,3,Selvær,100,3,1829201244,body_mass,3,0,0.0
random,3000,3000,0.17441692673765355,0.2705893106372086,1.005861759185791,,5.813897557921785e-05,3,Selvær,100,3,1829201244,body_mass,4,0,0.0
calibration_ga,4000,4000,0.5396134045436116,0.18735909125073116,1.058529019355774,,0.0001349033511359029,3,Selvær,100,3,1829201244,body_mass,-1,100,3392.052450157935
pevmean_ga,4000,4000,0.23682706158231137,0.239930285466594,1.0184619426727295,16967.90281027651,5.9206765395577845e-05,3,Selvær,100,3,1829201244,body_mass,-1,100,1333.4817678998224
random,4000,4000,0.13193574663198598,0.2159107943345317,1.033055305480957,,3.29839366579965e-05,3,Selvær,100,3,1829201244,body_mass,0,0,0.0
random,4000,4000,0.15966951049535288,0.19885022513427775,1.0360177755355835,,3.991737762383822e-05,3,Selvær,100,3,1829201244,body_mass,1,0,0.0
random,4000,4000,0.2397997681496935,0.213455750326367,1.0356991291046143,,5.9949942037423374e-05,3,Selvær,100,3,1829201244,body_mass,2,0,0.0
random,4000,4000,0.16565876029968496,0.1844879120400039,1.041988730430603,,4.141469007492124e-05,3,Selvær,100,3,1829201244,body_mass,3,0,0.0
random,4000,4000,0.26360161111559116,0.1937135396443993,1.0367522239685059,,6.590040277889779e-05,3,Selvær,100,3,1829201244,body_mass,4,0,0.0
