n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
2,13,5113,0.24243371188640594,1.5261863470077515,random_island,8,0
3,12,4716,0.22300322353839874,1.5040236711502075,random_island,8,0
4,11,4457,0.25025540590286255,1.455318808555603,random_island,8,0
5,10,3873,0.2311863899230957,1.5075572729110718,random_island,8,0
6,9,3707,0.18018695712089539,1.578858733177185,random_island,8,0
7,8,3221,0.19807255268096924,1.562132716178894,random_island,8,0
8,7,3027,0.19823387265205383,1.5652250051498413,random_island,8,0
9,6,2869,0.22112716734409332,1.5544275045394897,random_island,8,0
10,5,1791,0.11698156595230103,1.5173546075820923,random_island,8,0
11,4,1208,0.1626874804496765,1.4691466093063354,random_island,8,0
12,3,1116,0.1995946615934372,1.4234037399291992,random_island,8,0
13,2,558,0.0059857540763914585,1.4242897033691406,random_island,8,0
14,1,202,-0.10096714645624161,1.405313491821289,random_island,8,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,9,0
1,14,5376,0.20471599698066711,1.4657896757125854,random_island,9,0
2,13,4298,0.11491728574037552,1.4625672101974487,random_island,9,0
3,12,4039,0.15427492558956146,1.3941110372543335,random_island,9,0
4,11,3873,0.15573827922344208,1.4485763311386108,random_island,9,0
5,10,3290,0.15604928135871887,1.4250503778457642,random_island,9,0
6,9,3096,0.165598064661026,1.4657167196273804,random_island,9,0
7,8,2740,0.1606200784444809,1.4548392295837402,random_island,9,0
8,7,2182,0.04137207195162773,1.4476579427719116,random_island,9,0
9,6,1785,0.0019699311815202236,1.4205268621444702,random_island,9,0
10,5,1201,-0.0862642228603363,1.4675372838974,random_island,9,0
11,4,1028,-0.11738471686840057,1.511041283607483,random_island,9,0
12,3,542,-0.10189700871706009,1.474974274635315,random_island,9,0
13,2,384,-0.08847256749868393,1.438391089439392,random_island,9,0
14,1,92,-0.017182474955916405,1.4065948724746704,random_island,9,0
0,15,5578,0.18538391590118408,1.480628490447998,random_individual,0,0
1,14,5020,0.2000553160905838,1.3904500007629395,random_individual,0,0
2,13,4761,0.21426469087600708,1.457811713218689,random_individual,0,0
3,12,4559,0.20653454959392548,1.471479058265686,random_individual,0,0
4,11,4073,0.2317327857017517,1.4587880373001099,random_individual,0,0
5,10,3879,0.2663683295249939,1.4244070053100586,random_individual,0,0
6,9,3721,0.20105049014091492,1.3787521123886108,random_individual,0,0
7,8,2643,0.1306404024362564,1.4404348134994507,random_individual,0,0
8,7,2246,0.14778199791908264,1.412380337715149,random_individual,0,0
9,6,1663,0.16728414595127106,1.4028457403182983,random_individual,0,0
10,5,1079,-0.0033259401097893715,1.4417076110839844,random_individual,0,0
11,4,906,0.04074999317526817,1.4327284097671509,random_individual,0,0
12,3,740,0.1431739628314972,1.3770846128463745,random_individual,0,0
13,2,448,0.056506212800741196,1.3927472829818726,random_individual,0,0
14,1,356,0.16356085240840912,1.351615071296692,random_individual,0,0
0,15,5578,0.1911238431930542,1.4785212278366089,random_individual,1,0
1,14,5020,0.15375201404094696,1.5060640573501587,random_individual,1,0
2,13,4761,0.08330066502094269,1.6273397207260132,random_individual,1,0
3,12,4559,0.1226181611418724,1.5962649583816528,random_individual,1,0
4,11,4073,0.09768439084291458,1.5632435083389282,random_individual,1,0
5,10,3879,0.08148162066936493,1.589498519897461,random_individual,1,0
6,9,3721,0.132070854306221,1.5696841478347778,random_individual,1,0
7,8,2643,0.14851993322372437,1.5930395126342773,random_individual,1,0
8,7,2246,0.11747760325670242,1.5251401662826538,random_individual,1,0
9,6,1663,0.18068207800388336,1.392293930053711,random_individual,1,0
10,5,1079,0.27772343158721924,1.358080506324768,random_individual,1,0
11,4,906,0.2592940330505371,1.2913248538970947,random_individual,1,0
12,3,740,0.2711644470691681,1.2933605909347534,random_individual,1,0
13,2,448,0.09930427372455597,1.3818913698196411,random_individual,1,0
14,1,356,0.14464302361011505,1.3953590393066406,random_individual,1,0
0,15,5578,0.1677584946155548,1.442012906074524,random_individual,2,0
1,14,5020,0.11466692388057709,1.5317649841308594,random_individual,2,0
2,13,4761,0.17470209300518036,1.5370534658432007,random_individual,2,0
3,12,4559,0.13431744277477264,1.497170329093933,random_individual,2,0
4,11,4073,0.11121728271245956,1.5723718404769897,random_individual,2,0
5,10,3879,0.10094235092401505,1.5852380990982056,random_individual,2,0
