target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations
9,Sleneset,3,3014,3477,3477,8N87369,4,Gjerøy,1.5142188094262044e-05,2641,0.16119854468835712,50
9,Sleneset,3,3014,1723,1723,8N06676,14,Southern 4,1.5131904300048627e-05,2642,0.16119854468835712,50
9,Sleneset,3,3014,444,444,8L64171,8,Lovund,1.5052806329173413e-05,2643,0.16119854468835712,50
9,Sleneset,3,3014,665,665,8L89847,5,Hestmannøy,1.494384147538678e-05,2644,0.16119854468835712,50
9,Sleneset,3,3014,3594,3594,8N87633,15,Southern 5,1.4797690558751298e-05,2645,0.16119854468835712,50
9,Sleneset,3,3014,623,623,8L89652,5,Hestmannøy,1.4763306871593794e-05,2646,0.16119854468835712,50
9,Sleneset,3,3014,873,873,8M71092,5,Hestmannøy,1.4733233207618324e-05,2647,0.16119854468835712,50
9,Sleneset,3,3014,1467,1467,8N05602,14,Southern 4,1.44657060462329e-05,2648,0.16119854468835712,50
9,Sleneset,3,3014,2453,2453,8N27404,7,Onøy og Lurøy,1.429727170517866e-05,2649,0.16119854468835712,50
9,Sleneset,3,3014,4811,4811,8800450,0,Nesøy,1.4251108737188198e-05,2650,0.16119854468835712,50
9,Sleneset,3,3014,3725,3725,8N87921,13,Southern 3,1.4057306216765098e-05,2651,0.16119854468835712,50
9,Sleneset,3,3014,326,326,8L52360,11,Southern 1,1.3980933092480886e-05,2652,0.16119854468835712,50
9,Sleneset,3,3014,3254,3254,8N73653,13,Southern 3,1.3808815760588209e-05,2653,0.16119854468835712,50
9,Sleneset,3,3014,2418,2418,8N27198,14,Southern 4,1.3639388365370986e-05,2654,0.16119854468835712,50
9,Sleneset,3,3014,2254,2254,8N14638,13,Southern 3,1.3566880012316554e-05,2655,0.16119854468835712,50
9,Sleneset,3,3014,3639,3639,8N87831,14,Southern 4,1.3509610266350253e-05,2656,0.16119854468835712,50
9,Sleneset,3,3014,2294,2294,8N14679,13,Southern 3,1.3331620476951072e-05,2657,0.16119854468835712,50
9,Sleneset,3,3014,3739,3739,8N87935,13,Southern 3,1.3168692695009198e-05,2658,0.16119854468835712,50
9,Sleneset,3,3014,822,822,8L89119,13,Southern 3,1.3071685744707879e-05,2659,0.16119854468835712,50
9,Sleneset,3,3014,6,6,8L19568,3,Selvær,1.2933637565821914e-05,2660,0.16119854468835712,50
9,Sleneset,3,3014,4907,4907,8857249,0,Nesøy,1.2900763539627214e-05,2661,0.16119854468835712,50
9,Sleneset,3,3014,70,70,8L26581,6,Indre Kvarøy,1.289030348795718e-05,2662,0.16119854468835712,50
9,Sleneset,3,3014,2541,2541,8N28089,2,Træna,1.2254563933517329e-05,2663,0.16119854468835712,50
9,Sleneset,3,3014,3301,3301,8N73722,14,Southern 4,1.2052627156853291e-05,2664,0.16119854468835712,50
9,Sleneset,3,3014,4496,4496,8732279,1,Myken,1.204454641573413e-05,2665,0.16119854468835712,50
9,Sleneset,3,3014,3265,3265,8N73664,13,Southern 3,1.1998792736920005e-05,2666,0.16119854468835712,50
9,Sleneset,3,3014,126,126,8L30641,11,Southern 1,1.1694782161923286e-05,2667,0.16119854468835712,50
9,Sleneset,3,3014,3420,3420,8N87053,5,Hestmannøy,1.1630959638436744e-05,2668,0.16119854468835712,50
9,Sleneset,3,3014,1795,1795,8N06855,11,Southern 1,1.1446570182390147e-05,2669,0.16119854468835712,50
9,Sleneset,3,3014,1922,1922,8N13624,14,Southern 4,1.1339481101674403e-05,2670,0.16119854468835712,50
9,Sleneset,3,3014,310,310,8L52334,12,Southern 2,1.1272819616628405e-05,2671,0.16119854468835712,50
9,Sleneset,3,3014,5204,5204,8939158,5,Hestmannøy,1.1020797915148733e-05,2672,0.16119854468835712,50
9,Sleneset,3,3014,868,868,8L64880,11,Southern 1,1.0982705698535118e-05,2673,0.16119854468835712,50
9,Sleneset,3,3014,1955,1955,8N13659,13,Southern 3,1.090742816998125e-05,2674,0.16119854468835712,50
9,Sleneset,3,3014,86,86,8L30180,12,Southern 2,1.0867361412790904e-05,2675,0.16119854468835712,50
9,Sleneset,3,3014,1099,1099,8M72562,11,Southern 1,1.0816026725101744e-05,2676,0.16119854468835712,50
9,Sleneset,3,3014,1240,1240,8N05116,12,Southern 2,1.0712075504167861e-05,2677,0.16119854468835712,50
9,Sleneset,3,3014,634,634,8L89704,4,Gjerøy,1.0670220488036286e-05,2678,0.16119854468835712,50
9,Sleneset,3,3014,3683,3683,8N87878,13,Southern 3,1.0664547715323186e-05,2679,0.16119854468835712,50
9,Sleneset,3,3014,359,359,8L52426,5,Hestmannøy,1.062420885514788e-05,2680,0.16119854468835712,50
9,Sleneset,3,3014,1954,1954,8N13658,13,Southern 3,1.0480034261609906e-05,2681,0.16119854468835712,50
9,Sleneset,3,3014,2891,2891,8N72688,11,Southern 1,1.0449320811082297e-05,2682,0.16119854468835712,50
9,Sleneset,3,3014,553,553,8L89355,5,Hestmannøy,1.0368019393138389e-05,2683,0.16119854468835712,50
9,Sleneset,3,3014,2238,2238,8N14621,13,Southern 3,1.0357287698368536e-05,2684,0.16119854468835712,50
9,Sleneset,3,3014,4935,4935,8866718,4,Gjerøy,1.0217737707323843e-05,2685,0.16119854468835712,50
9,Sleneset,3,3014,720,720,8M31327,5,Hestmannøy,1.0167974017836547e-05,2686,0.16119854468835712,50
9,Sleneset,3,3014,5026,5026,8887481,6,Indre Kvarøy,1.0090391169719354e-05,2687,0.16119854468835712,50
9,Sleneset,3,3014,4507,4507,8732511,2,Træna,1.0017000311036486e-05,2688,0.16119854468835712,50
9,Sleneset,3,3014,5431,5431,8981266,5,Hestmannøy,9.974615790706402e-06,2689,0.16119854468835712,50
9,Sleneset,3,3014,648,648,8L89741,5,Hestmannøy,9.951170844325654e-06,2690,0.16119854468835712,50
9,Sleneset,3,3014,5149,5149,8934531,1,Myken,9.909588865227303e-06,2691,0.16119854468835712,50
9,Sleneset,3,3014,4372,4372,8681308,4,Gjerøy,9.194285373139711e-06,2692,0.16119854468835712,50
9,Sleneset,3,3014,3962,3962,8P14457,6,Indre Kvarøy,9.071766383592223e-06,2693,0.16119854468835712,50
9,Sleneset,3,3014,1564,1564,8N05712,5,Hestmannøy,9.034358204611792e-06,2694,0.16119854468835712,50
9,Sleneset,3,3014,2299,2299,8N14684,13,Southern 3,8.981192184236986e-06,2695,0.16119854468835712,50
9,Sleneset,3,3014,646,646,8L89734,4,Gjerøy,8.979959767802664e-06,2696,0.16119854468835712,50
9,Sleneset,3,3014,3404,3404,8N73988,12,Southern 2,8.942258736859796e-06,2697,0.16119854468835712,50
9,Sleneset,3,3014,5451,5451,8981325,6,Indre Kvarøy,8.884188392730003e-06,2698,0.16119854468835712,50
9,Sleneset,3,3014,479,479,8L64501,12,Southern 2,8.478486635134403e-06,2699,0.16119854468835712,50
9,Sleneset,3,3014,3875,3875,8P11579,5,Hestmannøy,8.35087617701763e-06,2700,0.16119854468835712,50
9,Sleneset,3,3014,2490,2490,8N27834,6,Indre Kvarøy,8.225018173001474e-06,2701,0.16119854468835712,50
9,Sleneset,3,3014,635,635,8L89709,4,Gjerøy,8.159354810234471e-06,2702,0.16119854468835712,50
9,Sleneset,3,3014,4321,4321,8681034,5,Hestmannøy,8.01006973660659e-06,2703,0.16119854468835712,50
9,Sleneset,3,3014,2638,2638,8N28815,5,Hestmannøy,7.934300546205975e-06,2704,0.16119854468835712,50
9,Sleneset,3,3014,3904,3904,8P11932,5,Hestmannøy,7.852767553978845e-06,2705,0.16119854468835712,50
9,Sleneset,3,3014,3017,3017,8N73191,15,Southern 5,7.768117004122998e-06,2706,0.16119854468835712,50
9,Sleneset,3,3014,223,223,8L48501,10,Aldra,7.752319332414854e-06,2707,0.16119854468835712,50
9,Sleneset,3,3014,4205,4205,8309288,5,Hestmannøy,7.565412770075691e-06,2708,0.16119854468835712,50
9,Sleneset,3,3014,4284,4284,8651869,5,Hestmannøy,7.486864515831026e-06,2709,0.16119854468835712,50
