target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction,v_full,n_source_islands
9,Sleneset,9,964385962,100,0.05,-0.1931897340594543,15
9,Sleneset,4,867652328,10,0.1,0.3573025004015884,15
9,Sleneset,9,1123348175,10,0.1,0.2653375704703518,15
9,Sleneset,4,867652328,25,0.1,0.3573025004015884,15
9,Sleneset,9,1123348175,25,0.1,0.2653375704703518,15
9,Sleneset,4,867652328,50,0.1,0.3573025004015884,15
9,Sleneset,9,1123348175,50,0.1,0.2653375704703518,15
9,Sleneset,4,867652328,75,0.1,0.3573025004015884,15
9,Sleneset,9,1123348175,75,0.1,0.2653375704703518,15
9,Sleneset,4,867652328,100,0.1,0.3573025004015884,15
9,Sleneset,9,1123348175,100,0.1,0.2653375704703518,15
9,Sleneset,4,1125935493,10,0.15,0.0516706940540758,15
9,Sleneset,9,1702487344,10,0.15,0.2116931183889239,15
9,Sleneset,4,1125935493,25,0.15,0.0516706940540758,15
9,Sleneset,9,1702487344,25,0.15,0.2116931183889239,15
9,Sleneset,4,1125935493,50,0.15,0.0516706940540758,15
9,Sleneset,9,1702487344,50,0.15,0.2116931183889239,15
9,Sleneset,4,1125935493,75,0.15,0.0516706940540758,15
9,Sleneset,9,1702487344,75,0.15,0.2116931183889239,15
9,Sleneset,4,1125935493,100,0.15,0.0516706940540758,15
9,Sleneset,9,1702487344,100,0.15,0.2116931183889239,15
9,Sleneset,4,464676702,10,0.2,0.0597711250581746,15
9,Sleneset,9,1382054110,10,0.2,0.1376692571031244,15
9,Sleneset,4,464676702,25,0.2,0.0597711250581746,15
9,Sleneset,9,1382054110,25,0.2,0.1376692571031244,15
9,Sleneset,4,464676702,50,0.2,0.0597711250581746,15
9,Sleneset,9,1382054110,50,0.2,0.1376692571031244,15
9,Sleneset,4,464676702,75,0.2,0.0597711250581746,15
9,Sleneset,9,1382054110,75,0.2,0.1376692571031244,15
9,Sleneset,4,464676702,100,0.2,0.0597711250581746,15
9,Sleneset,9,1382054110,100,0.2,0.1376692571031244,15
9,Sleneset,4,2050224354,10,0.25,0.2666512603272792,15
9,Sleneset,9,130747131,10,0.25,0.2786199503645084,15
9,Sleneset,4,2050224354,25,0.25,0.2666512603272792,15
9,Sleneset,9,130747131,25,0.25,0.2786199503645084,15
9,Sleneset,4,2050224354,50,0.25,0.2666512603272792,15
9,Sleneset,9,130747131,50,0.25,0.2786199503645084,15
9,Sleneset,4,2050224354,75,0.25,0.2666512603272792,15
9,Sleneset,9,130747131,75,0.25,0.2786199503645084,15
9,Sleneset,4,2050224354,100,0.25,0.2666512603272792,15
9,Sleneset,9,130747131,100,0.25,0.2786199503645084,15
