n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,repeat,split_seed
1,194,-0.10286745429039001,1.4307459592819214,random_individual,0,0,1,1014
2,360,-0.07493313401937485,1.4172097444534302,random_individual,0,0,1,1014
3,452,-0.017052846029400826,1.3887451887130737,random_individual,0,0,1,1014
4,1010,0.13111256062984467,1.379364013671875,random_individual,0,0,1,1014
5,1366,0.18104510009288788,1.3644376993179321,random_individual,0,0,1,1014
6,1763,0.14231549203395844,1.389477252960205,random_individual,0,0,1,1014
7,2346,0.26091712713241577,1.3664731979370117,random_individual,0,0,1,1014
8,2548,0.2125457525253296,1.3840737342834473,random_individual,0,0,1,1014
9,2706,0.15417912602424622,1.406924843788147,random_individual,0,0,1,1014
10,3192,0.21372167766094208,1.409610390663147,random_individual,0,0,1,1014
11,4270,0.1696815937757492,1.393671989440918,random_individual,0,0,1,1014
12,4854,0.17541450262069702,1.3660926818847656,random_individual,0,0,1,1014
13,5027,0.13065360486507416,1.403568148612976,random_individual,0,0,1,1014
14,5319,0.20441816747188568,1.3867121934890747,random_individual,0,0,1,1014
15,5578,0.1621725708246231,1.3940802812576294,random_individual,0,0,1,1014
1,194,0.168024480342865,1.3721919059753418,random_individual,1,0,1,1014
2,360,0.04133407771587372,1.4257434606552124,random_individual,1,0,1,1014
3,452,0.03620734438300133,1.3891233205795288,random_individual,1,0,1,1014
4,1010,0.010299639776349068,1.4207133054733276,random_individual,1,0,1,1014
5,1366,0.058765970170497894,1.374189019203186,random_individual,1,0,1,1014
6,1763,0.020867453888058662,1.4421805143356323,random_individual,1,0,1,1014
7,2346,-0.0820491686463356,1.422660231590271,random_individual,1,0,1,1014
8,2548,-0.057330772280693054,1.4168987274169922,random_individual,1,0,1,1014
9,2706,0.09643106907606125,1.3973031044006348,random_individual,1,0,1,1014
10,3192,-0.001730698742903769,1.4417833089828491,random_individual,1,0,1,1014
11,4270,0.14685799181461334,1.3890012502670288,random_individual,1,0,1,1014
12,4854,0.07387649267911911,1.4231754541397095,random_individual,1,0,1,1014
13,5027,0.12820066511631012,1.3863722085952759,random_individual,1,0,1,1014
14,5319,0.16169506311416626,1.389849305152893,random_individual,1,0,1,1014
15,5578,0.2177177369594574,1.3695605993270874,random_individual,1,0,1,1014
1,194,0.08772023022174835,1.3750890493392944,random_individual,2,0,1,1014
2,360,0.03533920645713806,1.3924521207809448,random_individual,2,0,1,1014
3,452,0.05926016345620155,1.4362033605575562,random_individual,2,0,1,1014
4,1010,0.1225125640630722,1.4280847311019897,random_individual,2,0,1,1014
5,1366,0.03443208336830139,1.441724419593811,random_individual,2,0,1,1014
6,1763,-0.09476789832115173,1.4357565641403198,random_individual,2,0,1,1014
7,2346,-0.10850393772125244,1.4150575399398804,random_individual,2,0,1,1014
8,2548,-0.05167945474386215,1.4143691062927246,random_individual,2,0,1,1014
9,2706,0.11283617466688156,1.3805769681930542,random_individual,2,0,1,1014
10,3192,0.07195784896612167,1.3903684616088867,random_individual,2,0,1,1014
11,4270,0.021428311243653297,1.4458279609680176,random_individual,2,0,1,1014
12,4854,-0.009882928803563118,1.424901008605957,random_individual,2,0,1,1014
13,5027,0.14352932572364807,1.3884474039077759,random_individual,2,0,1,1014
14,5319,0.24083979427814484,1.3723112344741821,random_individual,2,0,1,1014
15,5578,0.044964954257011414,1.3990458250045776,random_individual,2,0,1,1014
1,194,0.06567008048295975,1.4028438329696655,random_individual,3,0,1,1014
