trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind,source_lat,source_lon,target_lat,target_lon,geo_distance_km,phi_per_ind_1e4,shapley_sign
thr_wing,1,Myken,4,Gjerøy,553,-0.0639860652657763,0.0673477183945174,-0.0001157071704625,0.0001217861092125,10,13,66.615165,13.023725,66.760027,12.478567,28.895620061767442,-1.157071704625,Negative
thr_wing,1,Myken,5,Hestmannøy,1055,0.0198415120371368,0.062279773028114,1.880712041434772e-05,5.903296021622183e-05,10,9,66.536102,12.838656,66.760027,12.478567,29.52729444660615,0.18807120414347722,Positive
thr_wing,1,Myken,6,Indre Kvarøy,349,-0.0035942080187527,0.0663335473820689,-1.029859031161259e-05,0.0001900674710087,10,10,66.484892,12.945714,66.760027,12.478567,36.88857339434147,-0.1029859031161259,Negative
thr_wing,1,Myken,7,Onøy og Lurøy,256,0.0508266809744946,0.0671831096823228,0.0001985417225566,0.0002624340221965,10,3,66.406531,12.863522,66.760027,12.478567,42.830052595587574,1.9854172255659999,Positive
thr_wing,1,Myken,8,Lovund,151,0.00738398666254,0.0522066835929613,4.890057392410649e-05,0.0003457396264434,10,7,66.363291,12.339011,66.760027,12.478567,44.544783971350654,0.4890057392410649,Positive
thr_wing,1,Myken,9,Sleneset,160,0.0102642339644644,0.0425983891177502,6.415146227790292e-05,0.0002662399319859,10,6,66.360922,12.595983,66.760027,12.478567,44.68134443444084,0.6415146227790292,Positive
thr_wing,1,Myken,10,Aldra,173,-0.0386148516861866,0.0377142205371284,-0.0002232072351802,0.000218001274781,10,14,66.408641,13.059615,66.760027,12.478567,46.75317456724916,-2.232072351802,Negative
thr_wing,1,Myken,11,Leka,581,-0.0063458798937871,0.0515353941223479,-1.0922340608927994e-05,8.87011947028364e-05,10,11,65.08345,11.634547,66.760027,12.478567,190.314131621147,-0.10922340608927994,Negative
thr_wing,1,Myken,12,Vega,397,0.0328872938035608,0.03960895111763,8.283953099133704e-05,9.97706577270279e-05,10,4,65.657315,11.910286,66.760027,12.478567,125.23654512152534,0.8283953099133704,Positive
thr_wing,1,Myken,13,Vikna,583,0.0450172883817781,0.0480572833093933,7.721661815056292e-05,8.243101768335059e-05,10,5,64.905897,11.023292,66.760027,12.478567,216.53801730892877,0.7721661815056292,Positive
thr_wing,1,Myken,14,Lauvøya,688,0.0149685344607342,0.0564773715926153,2.1756590785950884e-05,8.208920289624319e-05,10,8,63.928508,9.933058,66.760027,12.478567,336.1969051410113,0.21756590785950886,Positive
thr_wing,2,Træna,0,Nesøy,118,0.0335990276875292,0.0351086979439404,0.0002847375227756,0.0002975313385079,10,3,66.574584,12.646056,66.498248,12.082706,26.346499755857668,2.8473752277560003,Positive
thr_wing,2,Træna,1,Myken,92,0.0205520954448535,0.041715520559991,0.0002233923417918,0.0004534295713042,10,4,66.760027,12.478567,66.498248,12.082706,33.94384131075169,2.233923417918,Positive
thr_wing,2,Træna,3,Selvær,191,0.1871610326955007,0.0462914372915975,0.0009799006947408,0.0002423635460293,10,1,66.586744,12.237925,66.498248,12.082706,12.001480357297899,9.799006947408,Positive
thr_wing,2,Træna,4,Gjerøy,553,-0.0717396820644918,0.0523354334177596,-0.0001297281773318,9.463912010444784e-05,10,14,66.615165,13.023725,66.498248,12.082706,43.61110539152316,-1.297281773318,Negative
thr_wing,2,Træna,5,Hestmannøy,1055,-0.0127273609667389,0.0860825411630302,-1.2063849257572448e-05,8.15948257469481e-05,10,11,66.536102,12.838656,66.498248,12.082706,33.75813562529129,-0.12063849257572448,Negative
thr_wing,2,Træna,6,Indre Kvarøy,349,0.0075564653540872,0.0454081613345687,2.165176319222705e-05,0.0001301093447981,10,9,66.484892,12.945714,66.498248,12.082706,38.30629687683305,0.2165176319222705,Positive
thr_wing,2,Træna,7,Onøy og Lurøy,256,0.0401616498722723,0.0713103226978779,0.0001568814448135,0.0002785559480385,10,5,66.406531,12.863522,66.498248,12.082706,36.154615005776925,1.568814448135,Positive
thr_wing,2,Træna,8,Lovund,151,0.0126618690964268,0.039830589608981,8.38534377246814e-05,0.0002637787391323,10,6,66.363291,12.339011,66.498248,12.082706,18.84306694501531,0.838534377246814,Positive
thr_wing,2,Træna,9,Sleneset,160,0.0861620955576973,0.0546413913128438,0.0005385130972356,0.0003415086957052,10,2,66.360922,12.595983,66.498248,12.082706,27.459604159299595,5.385130972356,Positive
thr_wing,2,Træna,10,Aldra,173,-0.0124325147595994,0.0418409524705589,-7.186424716531454e-05,0.0002418552165928,10,13,66.408641,13.059615,66.498248,12.082706,44.52470617150215,-0.7186424716531454,Negative
thr_wing,2,Træna,11,Leka,581,0.0158884699038982,0.0361989487836823,2.7346764034248305e-05,6.230455900805921e-05,10,8,65.08345,11.634547,66.498248,12.082706,158.63916738173316,0.27346764034248305,Positive
thr_wing,2,Træna,12,Vega,397,0.0056510041151314,0.0484976026463135,1.4234267292522444e-05,0.0001221602081771,10,10,65.657315,11.910286,66.498248,12.082706,93.83014047761338,0.14234267292522443,Positive
thr_wing,2,Træna,13,Vikna,583,0.0179676168553916,0.0462510883361483,3.081923988917943e-05,7.933291309802463e-05,10,7,64.905897,11.023292,66.498248,12.082706,183.5702186335209,0.3081923988917943,Positive
thr_wing,2,Træna,14,Lauvøya,688,-0.0095691635505684,0.0624838420734943,-1.3908667951407648e-05,9.08195378975209e-05,10,12,63.928508,9.933058,66.498248,12.082706,302.7617332650209,-0.13908667951407647,Negative
