source_island,target_island,source_island_name,target_island_name,geo_distance_km,phi_per_ind_mean,n_traits,phi_per_ind_1e4,shapley_sign
9,1,Sleneset,Myken,44.68134443444084,7.16686292738343e-05,3,0.716686292738343,Positive
9,2,Sleneset,Træna,27.459604159299595,0.00016190854700271975,3,1.6190854700271975,Positive
9,3,Sleneset,Selvær,29.71691369237924,-2.2839958528999944e-06,3,-0.022839958528999945,Negative
9,4,Sleneset,Gjerøy,34.0478201085102,-9.361983905166231e-06,3,-0.09361983905166231,Negative
9,5,Sleneset,Hestmannøy,22.26408239542809,7.12658399049e-05,3,0.712658399049,Positive
9,6,Sleneset,Indre Kvarøy,20.783834886694716,8.404146846670772e-05,3,0.8404146846670771,Positive
9,7,Sleneset,Onøy og Lurøy,12.951915537436141,0.00021013683761230524,3,2.101368376123052,Positive
9,8,Sleneset,Lovund,11.459916819095087,0.00020559518184326369,3,2.0559518184326366,Positive
9,10,Sleneset,Aldra,21.32268294268066,0.0001015319902004738,3,1.0153199020047379,Positive
9,11,Sleneset,Leka,148.68973859730676,8.04170833905106e-05,3,0.804170833905106,Positive
9,12,Sleneset,Vega,84.1545356354321,-6.579707869511193e-06,3,-0.06579707869511194,Negative
9,13,Sleneset,Vikna,177.1365583196607,0.00018768336405986853,3,1.8768336405986852,Positive
9,14,Sleneset,Lauvøya,297.6721376741345,8.769845881310001e-05,3,0.8769845881310001,Positive
10,0,Aldra,Nesøy,26.017997290856243,2.6865175342637014e-05,3,0.26865175342637015,Positive
10,1,Aldra,Myken,46.75317456724916,5.805852196575831e-05,3,0.580585219657583,Positive
10,2,Aldra,Træna,44.52470617150215,-9.762978640304845e-06,3,-0.09762978640304845,Negative
