trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,15,pevmean_ga,1000,0.0739864217147562,,0.8870793581008911,1
body_mass,15,pevmean_ga,1500,0.0508729947422306,,0.9106731414794922,1
body_mass,15,pevmean_ga,2000,0.0529085821426098,,0.901193916797638,1
body_mass,15,pevmean_ga,2500,0.01624355083014,,0.9141380190849304,1
body_mass,15,pevmean_ga,3000,0.0198687568221109,,0.915452003479004,1
body_mass,15,pevmean_ga,3500,-0.0213851526062175,,0.9463846683502196,1
body_mass,15,pevmean_ga,4000,0.0035858624725712,,0.9332646131515504,1
body_mass,15,pevmean_ga,4500,-0.0769288195605782,,0.9716861248016356,1
body_mass,15,pevmean_ga,5495,-0.0538122326796296,,0.9647695422172546,1
body_mass,15,random_individual,5495,-0.0538122326796296,,0.9647695422172546,1
