target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations,n_evals
5,Hestmannøy,0,14,4391,4391,8939175,0,Nesøy,0.001085718924370843,58,0.17024848497923442,300,159
5,Hestmannøy,0,14,1748,1748,8N14176,6,Indre Kvarøy,0.0010842043951556427,59,0.17024848497923442,300,166
5,Hestmannøy,0,14,458,458,8L89335,6,Indre Kvarøy,0.0010771027969492487,60,0.17024848497923442,300,173
5,Hestmannøy,0,14,453,453,8L89299,10,Aldra,0.0010768917647118997,61,0.17024848497923442,300,170
5,Hestmannøy,0,14,1572,1572,8N13423,9,Sleneset,0.001054643550615529,62,0.17024848497923442,300,173
5,Hestmannøy,0,14,2704,2704,8N73573,6,Indre Kvarøy,0.0010542290250431694,63,0.17024848497923442,300,165
5,Hestmannøy,0,14,826,826,8M72420,13,Vikna,0.0010507967925133207,64,0.17024848497923442,300,166
5,Hestmannøy,0,14,4538,4538,8981156,12,Vega,0.0010475200959577774,65,0.17024848497923442,300,170
5,Hestmannøy,0,14,1993,1993,8N27031,14,Lauvøya,0.0010436965991567496,66,0.17024848497923442,300,161
5,Hestmannøy,0,14,2439,2439,8N72738,4,Gjerøy,0.0010279162527176528,67,0.17024848497923442,300,166
5,Hestmannøy,0,14,86,86,8L30468,12,Vega,0.0010259129354433254,68,0.17024848497923442,300,160
5,Hestmannøy,0,14,220,220,8L52204,8,Lovund,0.0010189139052855704,69,0.17024848497923442,300,175
5,Hestmannøy,0,14,4136,4136,8816947,4,Gjerøy,0.0010185959784394817,70,0.17024848497923442,300,171
5,Hestmannøy,0,14,526,526,8M31109,12,Vega,0.0010174435439528227,71,0.17024848497923442,300,173
5,Hestmannøy,0,14,571,571,8M31516,1,Myken,0.0010163175769917123,72,0.17024848497923442,300,171
5,Hestmannøy,0,14,791,791,8M72016,2,Træna,0.0010019906443575765,73,0.17024848497923442,300,162
5,Hestmannøy,0,14,570,570,8M31509,4,Gjerøy,0.000998675255283057,74,0.17024848497923442,300,170
5,Hestmannøy,0,14,291,291,8L52419,4,Gjerøy,0.0009968203478964125,75,0.17024848497923442,300,166
