n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
1500,pevmean_ga,-1,0.038070756813073446,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26666,72.79564165789634
2000,pevmean_ga,-1,0.03267574953180279,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26540,83.29083142383024
2500,pevmean_ga,-1,0.028517436834504195,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26537,92.23010131157935
3000,pevmean_ga,-1,0.02591994685859805,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26518,102.48644994944334
3500,pevmean_ga,-1,0.023902498136415547,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26638,112.45623950706795
4000,pevmean_ga,-1,0.0223132750628995,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26688,122.4832620806992
4500,pevmean_ga,-1,0.02111541255981694,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26635,129.9748366419226
500,pevmean_ga,-1,0.08028373137113572,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26470,52.843106019776314
1000,pevmean_ga,-1,0.04977944919851388,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26669,63.189028470776975
1500,pevmean_ga,-1,0.03824085210658714,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26506,72.77265798021108
2000,pevmean_ga,-1,0.03241421933365421,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26647,83.55943578388542
2500,pevmean_ga,-1,0.028470684590504954,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26570,92.07564598787576
3000,pevmean_ga,-1,0.025856923693982625,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26637,102.68818770395592
3500,pevmean_ga,-1,0.023905673573444784,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26804,113.59132659016177
4000,pevmean_ga,-1,0.02237392773200696,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26542,122.18108282890171
