trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
thr_tarsus,3,pevmean_ga,1000,0.04988625208906658,0.0005063066050354192,313.8804358993657,5
thr_tarsus,3,pevmean_ga,1500,0.03864772741562904,0.0005157005575355526,363.38296407461166,5
thr_tarsus,3,pevmean_ga,2000,0.032529705299553055,0.00018445625560461803,416.2715830062516,5
thr_tarsus,3,pevmean_ga,2500,0.028631878526985382,0.00013122920078166488,459.79623182304204,5
thr_tarsus,3,pevmean_ga,3000,0.025894548067913505,6.284585651435811e-05,511.7287258580327,5
thr_tarsus,3,pevmean_ga,3500,0.023851554397145057,9.760753530809004e-05,563.6061184890568,5
thr_tarsus,3,pevmean_ga,4000,0.02230638700548768,4.508106147100189e-05,610.261411042884,5
thr_tarsus,3,pevmean_ga,4500,0.02115723456430364,2.9857090572557662e-05,642.2653720048256,5
thr_tarsus,4,pevmean_ga,500,0.4793573763214202,0.00819883282229967,285.2402569861151,5
thr_tarsus,4,pevmean_ga,1000,0.31850468415323296,0.0028662971621782824,334.27840109867975,5
thr_tarsus,4,pevmean_ga,1500,0.25111855683338424,0.0013083672425963368,383.2894072649069,5
thr_tarsus,4,pevmean_ga,2000,0.21098227150823715,0.0012001809420324092,433.1384483650327,5
thr_tarsus,4,pevmean_ga,2500,0.18387226511623103,0.0007163111342403549,476.65590551076457,5
thr_tarsus,4,pevmean_ga,3000,0.16511583879949196,0.0008058725616002696,526.75821300596,5
thr_tarsus,4,pevmean_ga,3500,0.14963571784278112,0.0002963215500681296,576.0945333656855,5
thr_tarsus,4,pevmean_ga,4000,0.1381616198972325,0.00020768562434704917,625.2260252749547,5
thr_tarsus,4,pevmean_ga,4500,0.1290421153441995,4.83857920867086e-05,654.4490428641438,5
thr_tarsus,5,pevmean_ga,500,0.44386494329552695,0.01130595513111318,307.0726328212768,5
thr_tarsus,5,pevmean_ga,1000,0.283975581087221,0.0018807499205445923,354.17549126781523,5
thr_tarsus,5,pevmean_ga,1500,0.22056807507748682,0.001981793243213945,403.52860018378124,5
thr_tarsus,5,pevmean_ga,2000,0.18483040447358937,0.0009305037571448522,451.88080977927893,5
thr_tarsus,5,pevmean_ga,2500,0.16036329564585555,0.0004627456834683131,496.19688771944493,5
thr_tarsus,5,pevmean_ga,3000,0.14367513294756296,0.0003769266073352654,549.0253116302192,5
thr_tarsus,5,pevmean_ga,3500,0.13089508284437618,0.00039499453972126754,599.6242651259527,5
thr_tarsus,5,pevmean_ga,4000,0.12127515559802018,0.00010340053296429366,649.0443440335803,5
thr_tarsus,5,pevmean_ga,4500,0.11479938721002896,2.3360140690292732e-05,655.8427084251307,5
thr_tarsus,6,pevmean_ga,500,0.15685390944312222,0.001198506096310216,275.95076141133904,5
thr_tarsus,6,pevmean_ga,1000,0.10729519937775325,0.0009026187240597477,325.41339966095984,5
thr_tarsus,6,pevmean_ga,1500,0.08613628421487299,0.00016496068076008683,375.73697590921074,5
thr_tarsus,6,pevmean_ga,2000,0.07528826241879213,0.0012069044172112334,428.1619955007918,5
thr_tarsus,6,pevmean_ga,2500,0.0674193500090166,0.00044636438819476386,470.94809121033177,5
thr_tarsus,6,pevmean_ga,3000,0.06143371002295887,0.00026373869308217516,522.4173360569403,5
thr_tarsus,6,pevmean_ga,3500,0.057148346462814324,0.00012805716592619205,572.9347694250755,5
thr_tarsus,6,pevmean_ga,4000,0.05381819975106685,8.556741096772181e-05,620.0969465887174,5
thr_tarsus,6,pevmean_ga,4500,0.05115676061486511,5.859918982513575e-05,631.9428618075326,5
thr_tarsus,7,pevmean_ga,500,0.16390285074474145,0.003074289898824889,273.02847627643496,5
thr_tarsus,7,pevmean_ga,1000,0.11425045753507077,0.0013008140697648826,322.6891887965612,5
thr_tarsus,7,pevmean_ga,1500,0.0940635776870239,0.0011078241073215352,373.64315258013085,5
