ringnr,island,score,rank
8N27618,14,-0.0002897243120969506,557
8P14006,2,-0.0002896343812608393,558
8N05687,15,-0.00028904145256092306,559
8N27894,6,-0.0002889079369197134,560
8L30445,4,-0.0002867708335543284,561
8N72695,11,-0.0002863596646420774,562
8939451,9,-0.0002858921170627582,563
8N42664,4,-0.0002858720208678278,564
8N73301,15,-0.00028573623103511636,565
8M72444,13,-0.00028425976688595256,566
8M71872,5,-0.00028407934041752014,567
8N05257,13,-0.00028399038092175033,568
8N05294,13,-0.0002835116956703132,569
8M71157,13,-0.00028341767938400153,570
8168644,5,-0.0002828992273862241,571
8L52493,13,-0.0002828873839462176,572
8N73198,15,-0.0002826294166879961,573
8N06475,12,-0.0002825340916388086,574
8M71167,13,-0.0002822605238179676,575
8N06930,4,-0.0002817139584294637,576
8M31780,11,-0.000280866258435708,577
8857230,5,-0.00027948844694947184,578
8L49938,5,-0.0002794625552269281,579
8N42535,4,-0.000279419936305203,580
8N05651,11,-0.0002792630129988538,581
8800073,6,-0.00027773270221587154,582
8L89645,6,-0.0002776077026283019,583
8N05460,5,-0.00027707348272087984,584
8981945,2,-0.0002767696787486784,585
8M72416,13,-0.000276706265140092,586
8N14001,6,-0.0002762477524811402,587
8800168,10,-0.0002760046090770629,588
8N05172,14,-0.00027549010246730177,589
8M71324,11,-0.00027532387503015343,590
8N73472,11,-0.0002749433660937939,591
8309231,13,-0.0002737922113738023,592
8N73920,11,-0.0002728707968344679,593
8N05305,13,-0.00027266079632681794,594
8N05131,12,-0.0002724057158047799,595
8N73921,11,-0.0002722218559938483,596
8N87062,5,-0.0002718071464187233,597
8N05697,15,-0.0002709770487854257,598
8N05660,13,-0.0002709657073864946,599
8800426,5,-0.0002702292931644479,600
8N13650,14,-0.00026956772489938885,601
8857261,9,-0.0002692256757654832,602
8887316,6,-0.00026825395798368845,603
8939733,5,-0.00026785193313116906,604
8800338,7,-0.0002666178461083746,605
8N42463,14,-0.0002664821095095249,606
8N42451,14,-0.00026636989787220955,607
8P11747,7,-0.00026623168741934933,608
8N73222,12,-0.00026543352578300983,609
8N87927,13,-0.0002654065719980281,610
8800606,8,-0.0002649656162247993,611
8N05513,8,-0.0002648369627422653,612
8800437,6,-0.0002646611465024762,613
8981278,5,-0.00026439342832418333,614
8N05402,10,-0.00026396530938654905,615
8730535,5,-0.00026320340759866667,616
8M71531,4,-0.0002630616600072244,617
8N14938,4,-0.00026301182720089855,618
8P14103,4,-0.00026289284141967073,619
8N06863,11,-0.00026283857368980534,620
8747703,5,-0.0002628121701491182,621
8L89434,5,-0.00026233334119751817,622
8N27904,6,-0.0002621137168716814,623
8N14801,2,-0.0002615700168462354,624
