n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
10,5,1314,0.17427587709791154,1.0888100862503052,random_individual,1,5,1314,9,Sleneset,3,36289244,25,0.05
9,6,1487,0.12346028076813227,1.0964313745498657,random_individual,1,6,1487,9,Sleneset,3,36289244,25,0.05
8,7,1884,0.10496601783264313,1.0994395017623901,random_individual,1,7,1884,9,Sleneset,3,36289244,25,0.05
7,8,1976,0.11868588920457421,1.0989619493484497,random_individual,1,8,1976,9,Sleneset,3,36289244,25,0.05
6,9,2559,0.15067120694463354,1.0856423377990723,random_individual,1,9,2559,9,Sleneset,3,36289244,25,0.05
5,10,2851,0.1323396575709837,1.0899629592895508,random_individual,1,10,2851,9,Sleneset,3,36289244,25,0.05
4,11,3337,0.12477882627008265,1.0880271196365356,random_individual,1,11,3337,9,Sleneset,3,36289244,25,0.05
3,12,3539,0.13352786172581366,1.0860095024108887,random_individual,1,12,3539,9,Sleneset,3,36289244,25,0.05
2,13,4617,0.1386335838896962,1.0819545984268188,random_individual,1,13,4617,9,Sleneset,3,36289244,25,0.05
1,14,5175,0.12080502608383561,1.083603024482727,random_individual,1,14,5175,9,Sleneset,3,36289244,25,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,random_individual,1,15,5531,9,Sleneset,3,36289244,25,0.05
14,1,194,0.01819444668397523,1.1285099983215332,random_individual,2,1,194,9,Sleneset,3,36289244,25,0.05
13,2,453,-0.05813489258061104,1.1215146780014038,random_individual,2,2,453,9,Sleneset,3,36289244,25,0.05
12,3,572,-0.037936870723847486,1.1175506114959717,random_individual,2,3,572,9,Sleneset,3,36289244,25,0.05
11,4,730,-0.015322475626441043,1.116653561592102,random_individual,2,4,730,9,Sleneset,3,36289244,25,0.05
10,5,1314,-0.03400213452249657,1.126849889755249,random_individual,2,5,1314,9,Sleneset,3,36289244,25,0.05
9,6,1487,-0.017662051210597954,1.1247928142547607,random_individual,2,6,1487,9,Sleneset,3,36289244,25,0.05
8,7,1884,0.0029498951267870333,1.1166926622390747,random_individual,2,7,1884,9,Sleneset,3,36289244,25,0.05
7,8,1976,0.014379511026422905,1.1127249002456665,random_individual,2,8,1976,9,Sleneset,3,36289244,25,0.05
6,9,2559,0.06525181228324763,1.1051876544952393,random_individual,2,9,2559,9,Sleneset,3,36289244,25,0.05
5,10,2851,0.08929529924171677,1.0972743034362793,random_individual,2,10,2851,9,Sleneset,3,36289244,25,0.05
4,11,3337,0.10809732920293338,1.0896656513214111,random_individual,2,11,3337,9,Sleneset,3,36289244,25,0.05
