target_island,target_island_name,repeat,repeat_seed,trait,model,weight_scheme,order_seed,weighted_fit_used,analysis,method,n_individuals,corr_eval,mse_adj
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,1500,0.2998057118239267,1.257968783378601
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,2000,0.2684944348192273,1.268585205078125
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,2500,0.2277626422366243,1.287093997001648
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,3000,0.2021617458011428,1.2909929752349854
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,3500,0.1766550006615308,1.297573804855347
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,4000,0.2176799836454273,1.286793231964111
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,4500,0.2008305284500991,1.299381971359253
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,50,-0.031717321330587,1.3281478881835938
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,100,-0.0255495585363061,1.3190568685531616
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,250,0.0589928595097258,1.3190922737121582
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,500,0.0597132845205109,1.3274621963500977
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,1000,-0.0098566836902863,1.336259365081787
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,1500,0.2469778594045883,1.305920124053955
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,2000,0.2560695695127982,1.2980362176895142
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,2500,0.309135406459546,1.2761149406433103
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,3000,0.1992950756595852,1.295111894607544
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,3500,0.1339908535443935,1.306175947189331
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,4000,0.1313918349028595,1.303396701812744
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,4500,0.1665124848992109,1.3003811836242676
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,50,-0.1309093147100644,1.3252180814743042
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,100,0.0097776361221551,1.325677514076233
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,250,0.1617233403526085,1.3171769380569458
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,500,0.086563425278199,1.32362163066864
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,1000,0.1463021408912909,1.314847111701965
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,1500,0.041683268625043,1.3268266916275024
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,2000,0.1022676394299144,1.3199434280395508
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,2500,0.0870083528381685,1.3179779052734375
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,3000,0.1623960104847209,1.310256004333496
