repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,method,weight
2,1198679252,11,Southern 1,583,0.021102716298517607,3.6196768951145126e-05,softmax,0.9999612170479161
2,1198679252,12,Southern 2,397,-0.02462591373220706,-6.203000940102534e-05,softmax,0.9997647904052487
2,1198679252,13,Southern 3,584,-0.02858767575184007,-4.895149957506861e-05,softmax,0.999790941614536
2,1198679252,14,Southern 4,486,-0.012640818652105543,-2.6009914922027867e-05,softmax,0.9998368162440094
2,1198679252,15,Southern 5,202,-0.034872959059478806,-0.00017263841118553863,softmax,0.9995436500948724
2,1198679252,0,Nesøy,119,0.09568172840381269,0.0008040481378471655,minmax,3.891383015409401
2,1198679252,1,Myken,92,-0.01803301854306825,-0.00019601107112030708,minmax,0.19456915077047007
2,1198679252,2,Træna,292,0.033509388647746004,0.00011475818030050001,minmax,1.2092505882116793
2,1198679252,3,Selvær,194,0.0051502721184556064,2.65477944250289e-05,minmax,0.8660105137235672
2,1198679252,5,Hestmannøy,1078,0.13215341371005634,0.00012259129286647157,minmax,1.239730424729042
2,1198679252,6,Indre Kvarøy,356,0.10686127292817639,0.00030017211496678763,minmax,1.9307245066665293
2,1198679252,7,Onøy og Lurøy,259,-0.021959979788647707,-8.478756675153555e-05,minmax,0.43278763090619005
2,1198679252,8,Lovund,158,0.028614378462804714,0.00018110366115699187,minmax,1.4674109801555517
2,1198679252,9,Sleneset,166,-0.001806376678258742,-1.0881787218426157e-05,minmax,0.7203662988859256
2,1198679252,10,Aldra,173,-0.026146750172902033,-0.00015113728423642793,minmax,0.19456915077047007
2,1198679252,11,Southern 1,583,0.021102716298517607,3.6196768951145126e-05,minmax,0.9035561462724775
2,1198679252,12,Southern 2,397,-0.02462591373220706,-6.203000940102534e-05,minmax,0.5213407599128359
2,1198679252,13,Southern 3,584,-0.02858767575184007,-4.895149957506861e-05,minmax,0.5722312377437824
2,1198679252,14,Southern 4,486,-0.012640818652105543,-2.6009914922027867e-05,minmax,0.6615004450716092
2,1198679252,15,Southern 5,202,-0.034872959059478806,-0.00017263841118553863,minmax,0.19456915077047007
2,1198679252,0,Nesøy,119,0.09568172840381269,0.0008040481378471655,rank,4.520483676867457
2,1198679252,1,Myken,92,-0.01803301854306825,-0.00019601107112030708,rank,0.30136557845783046
2,1198679252,2,Træna,292,0.033509388647746004,0.00011475818030050001,rank,0.9040967353734914
2,1198679252,3,Selvær,194,0.0051502721184556064,2.65477944250289e-05,rank,0.6457833824096367
