trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31862,8M31862,4,Gjerøy,155,13.548559188842773
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L64933,8L64933,5,Hestmannøy,156,13.610092163085938
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981801,8981801,5,Hestmannøy,157,13.632923126220703
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N73082,8N73082,6,Indre Kvarøy,158,13.644267082214355
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42923,8N42923,4,Gjerøy,159,13.65378475189209
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8866752,8866752,5,Hestmannøy,160,13.673664093017578
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N14031,8N14031,5,Hestmannøy,161,13.695602416992188
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42731,8N42731,4,Gjerøy,162,13.695952415466309
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747729,8747729,5,Hestmannøy,163,13.711347579956055
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N72490,8N72490,3,Selvær,164,13.748716354370117
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981026,8981026,5,Hestmannøy,165,13.759958267211914
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747300,8747300,8,Lovund,166,13.778894424438477
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8934285,8934285,7,Onøy og Lurøy,167,13.801164627075195
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L64182,8L64182,7,Onøy og Lurøy,168,13.891096115112305
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8732685,8732685,5,Hestmannøy,169,13.909534454345703
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N13423,8N13423,9,Sleneset,170,13.924367904663086
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N28483,8N28483,2,Træna,171,13.931180000305176
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981725,8981725,7,Onøy og Lurøy,172,13.956656455993652
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N28001,8N28001,2,Træna,173,13.96440601348877
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8168635,8168635,5,Hestmannøy,174,14.004337310791016
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8857226,8857226,6,Indre Kvarøy,175,14.027066230773926
