target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
5,10.0,26,13,Southern 3,8.2,2.5298221281347035,1.9036047180320444e-05,10
5,10.0,26,11,Southern 1,9.0,2.260776661041756,4.45967688301612e-06,10
5,10.0,26,1,Myken,9.3,4.9452558635075246,-0.0001659369409376269,10
5,10.0,26,9,Sleneset,9.3,4.522781838156197,-3.085862431706197e-05,10
5,10.0,26,3,Selvær,10.0,3.8873012632302,-4.30816005605913e-05,10
5,10.0,26,15,Southern 5,10.1,4.817791102892602,-0.00013363438164176435,10
5,10.0,27,6,Indre Kvarøy,4.6,4.376706016578627,0.00038175886395530134,10
5,10.0,27,0,Nesøy,5.8,6.1788168590578705,0.00018655973622251255,10
5,10.0,27,8,Lovund,7.1,5.566766466171263,0.00018806715488297346,10
5,10.0,27,14,Southern 4,7.3,3.4657049948186747,0.0001249303500182668,10
5,10.0,27,12,Southern 2,7.7,3.0203016773531455,7.483833788178461e-05,10
5,10.0,27,7,Onøy og Lurøy,7.8,4.077035960378842,0.00011064599159677916,10
5,10.0,27,2,Træna,7.9,5.3218626647276635,9.179357528307951e-05,10
5,10.0,27,4,Gjerøy,8.0,2.8674417556808756,3.186665415292584e-05,10
5,10.0,27,10,Aldra,8.1,4.383048152953731,3.7008286163626285e-05,10
5,10.0,27,13,Southern 3,8.2,2.5298221281347035,1.775492821003776e-05,10
5,10.0,27,11,Southern 1,8.9,2.2335820757001272,6.611804203168597e-06,10
5,10.0,27,1,Myken,9.2,5.072803301265813,-0.00014397757644893795,10
5,10.0,27,9,Sleneset,9.3,4.522781838156197,-2.8875682099499272e-05,10
5,10.0,27,3,Selvær,10.0,3.8873012632302,-4.237433133460668e-05,10
5,10.0,27,15,Southern 5,10.1,4.794672969962487,-0.00012771908543685295,10
5,10.0,28,6,Indre Kvarøy,4.5,4.196559437338057,0.00038254435617413117,10
5,10.0,28,0,Nesøy,5.8,6.1788168590578705,0.000191450241479276,10
5,10.0,28,8,Lovund,7.1,5.566766466171263,0.0001857547393403044,10
5,10.0,28,14,Southern 4,7.3,3.4657049948186747,0.00012226455166577425,10
5,10.0,28,7,Onøy og Lurøy,7.7,4.110960958218893,0.00011193959296510818,10
5,10.0,28,12,Southern 2,7.7,3.0203016773531455,7.226704133001484e-05,10
5,10.0,28,2,Træna,7.9,5.087020520675908,8.793460621017216e-05,10
5,10.0,28,4,Gjerøy,8.1,2.998147576235848,3.576863599239089e-05,10
5,10.0,28,10,Aldra,8.1,4.332051092342595,4.2051195724558415e-05,10
5,10.0,28,13,Southern 3,8.2,2.5298221281347035,1.8745895181957272e-05,10
5,10.0,28,11,Southern 1,9.0,2.211083193570267,5.005348415684188e-06,10
5,10.0,28,1,Myken,9.4,5.081557066709201,-0.0001467209272824479,10
5,10.0,28,9,Sleneset,9.4,4.6475800154489,-3.7781384425698966e-05,10
5,10.0,28,15,Southern 5,9.7,4.967673276069772,-0.00012122212229959332,10
5,10.0,28,3,Selvær,10.1,3.8715486421958962,-4.081038443279365e-05,10
5,10.0,29,6,Indre Kvarøy,4.7,4.321779468896785,0.0003768332195342343,10
5,10.0,29,0,Nesøy,5.7,6.23698645180507,0.00018813904076865444,10
5,10.0,29,8,Lovund,7.1,5.566766466171263,0.00019408941424769614,10
5,10.0,29,14,Southern 4,7.4,3.4058772731852804,0.00011770923837644953,10
5,10.0,29,7,Onøy og Lurøy,7.6,3.921450978627398,0.00010928509736507261,10
5,10.0,29,12,Southern 2,7.6,3.0983866769659345,7.278567062674737e-05,10
5,10.0,29,2,Træna,7.7,5.143496432929214,9.231488117581554e-05,10
5,10.0,29,4,Gjerøy,8.0,2.8674417556808756,4.145653872196572e-05,10
5,10.0,29,10,Aldra,8.2,4.211096452627668,3.817522774321378e-05,10
5,10.0,29,13,Southern 3,8.2,2.5298221281347035,2.0906234585711363e-05,10
5,10.0,29,11,Southern 1,9.2,2.250925735484551,5.09943294970263e-06,10
5,10.0,29,1,Myken,9.4,5.081557066709201,-0.00014719910477026168,10
5,10.0,29,9,Sleneset,9.4,4.6475800154489,-3.770588560795521e-05,10
5,10.0,29,15,Southern 5,9.8,5.072803301265814,-0.00012415504431370752,10
5,10.0,29,3,Selvær,10.0,3.8873012632302,-4.406022570795302e-05,10
5,10.0,30,6,Indre Kvarøy,4.7,4.321779468896785,0.0003760769901597968,10
5,10.0,30,0,Nesøy,5.7,6.272515001532036,0.00017288727241317984,10
5,10.0,30,8,Lovund,7.1,5.566766466171263,0.00019132237005314853,10
5,10.0,30,14,Southern 4,7.4,3.4058772731852804,0.00011603079055680344,10
5,10.0,30,12,Southern 2,7.6,3.0983866769659345,7.212162012429086e-05,10
5,10.0,30,2,Træna,7.7,5.250396810400778,9.157982620768048e-05,10
5,10.0,30,7,Onøy og Lurøy,7.7,3.7431418769679454,0.00011109940671209853,10
5,10.0,30,4,Gjerøy,8.0,2.788866755113585,4.6381838883268564e-05,10
5,10.0,30,13,Southern 3,8.1,2.7264140062238043,1.9956586933894082e-05,10
5,10.0,30,10,Aldra,8.2,4.211096452627668,4.5695216396567226e-05,10
5,10.0,30,11,Southern 1,9.1,2.2335820757001277,5.558684079299105e-06,10
5,10.0,30,9,Sleneset,9.2,4.848825745591515,-3.261382125316601e-05,10
5,10.0,30,1,Myken,9.4,5.081557066709201,-0.00016302059200605618,10
5,10.0,30,15,Southern 5,10.0,4.784233364802441,-0.0001255481895381031,10
5,10.0,30,3,Selvær,10.1,3.8715486421958962,-4.1744552962697155e-05,10
5,10.0,31,6,Indre Kvarøy,4.6,4.141926551202418,0.00037797647008565245,10
5,10.0,31,0,Nesøy,5.7,6.272515001532036,0.0001905445502338935,10
5,10.0,31,8,Lovund,7.1,5.566766466171263,0.00018408671631559568,10
5,10.0,31,14,Southern 4,7.4,3.4058772731852804,0.00011389617862723682,10
5,10.0,31,12,Southern 2,7.6,3.0983866769659345,7.447542951085763e-05,10
5,10.0,31,2,Træna,7.8,5.266244708835067,9.785589754434252e-05,10
5,10.0,31,7,Onøy og Lurøy,7.8,3.675746333890726,0.00010646911834076148,10
5,10.0,31,4,Gjerøy,7.9,2.960855732160327,4.369089333864233e-05,10
5,10.0,31,13,Southern 3,8.1,2.7264140062238043,2.019107232899301e-05,10
5,10.0,31,10,Aldra,8.2,4.211096452627668,3.7775783087073535e-05,10
5,10.0,31,11,Southern 1,9.1,2.2335820757001277,4.4976416777045555e-06,10
5,10.0,31,9,Sleneset,9.2,4.848825745591515,-2.5125503364196934e-05,10
5,10.0,31,1,Myken,9.3,5.1001089312985375,-0.00015711462155453072,10
5,10.0,31,15,Southern 5,10.0,4.784233364802441,-0.00012691665752059337,10
5,10.0,31,3,Selvær,10.2,3.852848873813304,-4.3130406837224895e-05,10
5,10.0,32,6,Indre Kvarøy,4.6,4.141926551202418,0.00037338402008377664,10
5,10.0,32,0,Nesøy,5.7,6.272515001532036,0.00019903478649539074,10
5,10.0,32,8,Lovund,7.1,5.566766466171263,0.0001810368915267652,10
5,10.0,32,14,Southern 4,7.3,3.4657049948186747,0.0001170659171945788,10
5,10.0,32,12,Southern 2,7.5,2.758824226207808,7.859738060497582e-05,10
5,10.0,32,7,Onøy og Lurøy,7.7,3.7431418769679454,0.0001075864419001555,10
5,10.0,32,2,Træna,7.8,5.370702416299422,9.437755465673158e-05,10
5,10.0,32,4,Gjerøy,7.8,2.973961069759395,4.2768205889291e-05,10
5,10.0,32,10,Aldra,8.3,4.24394994210713,3.4376936763960114e-05,10
5,10.0,32,13,Southern 3,8.3,2.7100635498903793,1.8450478916224133e-05,10
5,10.0,32,9,Sleneset,9.1,4.840798832148815,-2.3282256961889062e-05,10
5,10.0,32,11,Southern 1,9.1,2.2335820757001277,5.265953414834364e-06,10
5,10.0,32,1,Myken,9.4,5.081557066709201,-0.00015284677467462327,10
5,10.0,32,15,Southern 5,10.1,4.677368680976279,-0.0001275466099448801,10
5,10.0,32,3,Selvær,10.2,3.852848873813304,-4.465438550517482e-05,10
5,10.0,33,6,Indre Kvarøy,4.7,4.191260749066641,0.0003668924607977004,10
5,10.0,33,0,Nesøy,5.7,6.236986451805071,0.00020809998154771217,10
5,10.0,33,8,Lovund,7.0,5.676462121975466,0.00018381451272772172,10
5,10.0,33,14,Southern 4,7.3,3.4657049948186747,0.0001191930237522149,10
5,10.0,33,12,Southern 2,7.5,2.718251071716682,7.883377352672093e-05,10
5,10.0,33,7,Onøy og Lurøy,7.7,3.7431418769679454,0.00010558651953243616,10
5,10.0,33,2,Træna,7.9,5.384133067531753,9.049966231941588e-05,10
5,10.0,33,4,Gjerøy,7.9,2.960855732160327,4.256352402612875e-05,10
5,10.0,33,13,Southern 3,8.2,2.6583202716502514,1.9739021255613245e-05,10
5,10.0,33,10,Aldra,8.4,4.141926551202418,3.463644580715551e-05,10
5,10.0,33,9,Sleneset,9.1,4.840798832148815,-2.210459624694167e-05,10
5,10.0,33,11,Southern 1,9.1,2.2335820757001277,7.05868726713329e-06,10
5,10.0,33,1,Myken,9.2,5.202563470700445,-0.00015352804957072643,10
5,10.0,33,15,Southern 5,10.1,4.677368680976279,-0.00012826630828483013,10
5,10.0,33,3,Selvær,10.2,3.852848873813304,-4.692075009669756e-05,10
5,10.0,34,6,Indre Kvarøy,4.8,4.157990967870047,0.00037106688726181917,10
5,10.0,34,0,Nesøy,5.7,6.236986451805071,0.0001948660498163383,10
5,10.0,34,8,Lovund,7.1,5.820461990063827,0.0001779792279633649,10
5,10.0,34,14,Southern 4,7.4,3.3730961708462712,0.00012027133234920142,10
5,10.0,34,12,Southern 2,7.5,2.718251071716682,7.869692817435219e-05,10
5,10.0,34,7,Onøy og Lurøy,7.7,3.7431418769679454,0.00010403879351080646,10
5,10.0,34,4,Gjerøy,7.8,3.155242550986462,4.116135662849062e-05,10
5,10.0,34,2,Træna,8.0,5.41602560309064,8.948027020215394e-05,10
5,10.0,34,10,Aldra,8.2,4.366539438350085,3.611461418167605e-05,10
5,10.0,34,13,Southern 3,8.3,2.6267851073127395,1.8910959991951655e-05,10
5,10.0,34,11,Southern 1,9.0,2.211083193570267,9.349474492703671e-06,10
5,10.0,34,9,Sleneset,9.1,4.840798832148815,-1.8231860067145733e-05,10
5,10.0,34,1,Myken,9.2,5.202563470700445,-0.000155809699410696,10
5,10.0,34,3,Selvær,9.9,3.928528138289623,-4.214461574499695e-05,10
5,10.0,34,15,Southern 5,10.3,4.3728963196286985,-0.00013062336934135103,10
5,10.0,35,6,Indre Kvarøy,4.7,4.110960958218893,0.0003727195192349712,10
5,10.0,35,0,Nesøy,5.7,6.236986451805071,0.00019857954243424156,10
5,10.0,35,8,Lovund,7.1,5.820461990063827,0.00017908789284438374,10
5,10.0,35,14,Southern 4,7.4,3.3730961708462712,0.00011974682374892805,10
5,10.0,35,12,Southern 2,7.6,2.9888682361946532,7.402715458157763e-05,10
5,10.0,35,7,Onøy og Lurøy,7.7,3.7431418769679454,0.00011703435228527049,10
5,10.0,35,4,Gjerøy,7.8,3.155242550986462,4.121506116892226e-05,10
5,10.0,35,2,Træna,7.9,5.300943312279429,8.388722812494763e-05,10
5,10.0,35,10,Aldra,8.2,4.366539438350085,4.098986769809642e-05,10
5,10.0,35,13,Southern 3,8.4,2.503331114069145,1.792334279629979e-05,10
5,10.0,35,11,Southern 1,9.0,2.211083193570267,8.593052873581063e-06,10
5,10.0,35,9,Sleneset,9.1,4.840798832148815,-2.06693720878339e-05,10
5,10.0,35,1,Myken,9.2,5.202563470700445,-0.00015091148457474854,10
5,10.0,35,3,Selvær,9.9,3.928528138289623,-4.236922344386333e-05,10
5,10.0,35,15,Southern 5,10.3,4.3728963196286985,-0.0001339917670372559,10
